Project Name With Location,Project Name,Location,SIZE1,SIZE2,SIZE3,SIZE4,SIZE5,SIZE6,SIZE7,SIZE8,SIZE9,SIZE10
Emaar Gurgaon Greens Sector 102,Emaar Gurgaon Greens,Sector 102,1650 3BHK with Servant Room,3200 4BHK With Servant Room, ,,,,,,,
Emaar MGF Palm Studios Sector 66,Emaar MGF Palm Studios,Sector 66,1125 2BHK,1200 2BHK, ,,,,,,,
Emaar Palm Gardens Sector 83,Emaar Palm Gardens,Sector 83,1900 3BHK with Servant Room,1720 3BHK with Servant Room, ,,,,,,,
Emmar Digi Home Sector 62,Emmar Digi Home,Sector 62,1508 2BHK,2588 3BHK, ,,,,,,,
Emmar Imperial Garden Sector 102,Emmar Imperial Garden,Sector 102,2000 3BHK with Servant Room, , ,,,,,,,
Godrej 101 Sector 79,Godrej 101,Sector 79,1383 2BHK,1470 2BHK with study,1491 2BHK with study,1505 2BHK with study,1572 3BHK,2244 3BHK with Servant Room,,,,
Godrej Air Sector 85,Godrej Air,Sector 85,990 2BHK,1045 2BHK,1313 3BHK,1370 3BHK,1840 4BHK,1905 4BHK with Store Room,2599 4BHK with Servant Room,,,
Godrej Frontier Sector 80,Godrej Frontier,Sector 80,1821 3BHK,1928 3BHK,2262 3BHK with Servant Room,2754 4BHK with Servant Room,3163 4BHK with Servant Room,4611 Penthouse,,,,
Godrej Icon Sector 88A,Godrej Icon,Sector 88A,1490 2BHK,1575 2BHK,1789 3BHK,1825 3BHK,1835 3BHK,2317 4BHK with Servant Room,3008 4BHK with Servant Room,,,
Godrej Meridien Sector 106,Godrej Meridien,Sector 106,1500 2BHK,1800 2BHK with study,2000 3BHK,2200 3BHK,2720 4BHK,2900 4BHK,,,,
Godrej Oasis Sector 88A,Godrej Oasis,Sector 88A,1300 2BHK,1500 2BHK With Study Room,1700 3BHK,2300 3BHK,,,,,,
Godrej Summit Sector 104,Godrej Summit,Sector 104,1260 2BHK,1600 2BHK with study,1900 3BHK,2324 4BHK,,,,,,
GPL EDEN height Sector 70,GPL EDEN height,Sector 70,1250 2BHK,2150 3BHK with Servant Room,2190 3BHK with Servant Room,2845 3BHK with Servant Room,,,,,,
Gurgaon One Sector 84,Gurgaon One,Sector 84,1270 2BHK,1534 2BHK with study,1963 3BHK,2067 3BHK,2244 3BHK with Servant Room,3194 4BHK with Servant Room,3434 4BHK with Servant Room,,,
Hamilton Court (DLF)  DLF Phase 4,Hamilton Court (DLF),DLF Phase 4,2650 3BHK with Servant Room, , ,,,,,,,
Heritage Max Sector 102,Heritage Max,Sector 102,1870 3BHK with Servant Room,1942 3BHK with Servant Room,1931 3BHK with Servant Room,2475 3BHK with Servant Room,2775 4BHK with Servant Room,,,,,
Heritage One Sector 62,Heritage One ,Sector 62,1996 3BHK with Servant Room,2600 4BHK with Servant Room, ,,,,,,,
Hero Homes Sector 104,Hero Homes,Sector 104,1099 2BHK,1360 3BHK,1390 3BHK,1689 3BHK,,,,,,
Ireo Corridors Sector 67A,Ireo Corridors,Sector 67A,1296 2BHK,1484 2BHK with study,1727 3BHK,1852 3BHK with Servant Room,2416 3BHK with Servant Room,2740 4BHK with Servant Room,,,,
Ireo Grand Arch Sector 58,Ireo Grand Arch,Sector 58,1375 2BHK,1630 2BHK,2156 3BHK,2427 3BHK With Servant Room,2864 4BHK with Servant Room,,,,,
Ireo Skyon Sector 60,Ireo Skyon,Sector 60,1365 2BHK,1524 2BHK with Servant Room,2045 3BHK with Servant Room,2845 3BHK with Servant Room,,,,,,
Ireo Uptown Sector 66,Ireo Uptown,Sector 66,1400 2BHK with Servant Room,1862 3BHK with Servant Room,2100 4BHK with Servant Room, 4BHK with Servant Room,,,,,,
Ireo Victory Valley Sector 67,Ireo Victory Valley,Sector 67,1435 2BHK,2385 3BHK with Servant Room,2411 3BHK with Servant Room,2428 3BHK with Servant Room,2847 4BHK with Servant Room,3612 4BHK with Servant Room,4833 5BHK with Servant Room,5400 5BHK Penthouse,,
JMD Gardens Sohna Road,JMD Gardens,Sohna Road,1875 3BHK,2020 3BHK with Servant Room,2315 4BHK,4328 4BHK Penthouse,4683 4BHK with Servant Room,,,,,
Krish Provence Estate Faridabad Raod,Krish Provence Estate,Faridabad Raod,5800 4BHK with Servant Room,10000 5BHK with Servant Room, ,,,,,,,
M3M Escala Sector 70A,M3M Escala,Sector 70A,1475 2BHK,1655 2BHK with study,2150 3BHK with Servant Room,3500 3BHK with Servant Room,3275 3BHK With Servant Room,,,,,
M3M Golf Estate Sector 65,M3M Golf Estate,Sector 65,2882 3BHK with Servant Room,3985 3BHK with Servant Room,4785 4BHK with Servant Room,11000 5BHK with Servant Room,13000 5BHK with Servant Room,,,,,
M3M Heights Sector 65,M3M Heights,Sector 65,1260 2BHK,1450 2BHK with study,1828 3BHK,2762 4BHK with Servant Room,,,,,,
M3M iconic Sector 68,M3M iconic,iconic Sector 68,2000 3BHK, , ,,,,,,,
M3M Latitude Sector 65,M3M Latitude,Sector 65,2485 3BHK with Servant Room,2985 4BHK with Servant Room, ,,,,,,,
M3M Merlin Sector 67,M3M Merlin,Sector 67,2045 3BHK with Servant Room,2300 3BHK with Servant Room,3300 4BHK with Servant Room,2750 4BHK with Servant Room,,,,,,
M3M Natura Sector 68,M3M Natura,Sector 68,1200 2BHK,1478 2BHK, ,,,,,,,
M3M Sierra Sector 68,M3M Sierra,Sector 68,1194 2BHK,1542 3BHK,1914 3BHK, 3BHK,,,,,,
M3M Sky city Sector 65,M3M Sky city,Sector 65,1280 2BHK,2003 3BHK with Servant Room, ,,,,,,,
M3M The Marina Sector 68,M3M The Marina,Sector 68,1260 2BHK,1304 2BHK,1550 3BHK,1595 3BHK,1650 3BHK,,,,,
Mahindra Aura Sector 110A,Mahindra Aura,Sector 110A,990 2BHK,1350 3BHK,1450 3BHK,2300 4BHK With Servant Room,2397 4BHKwith Servant Room,,,,,
Mahindra Luminare Sector 59,Mahindra Luminare,Sector 59,2690 3BHK with Servant Room,3300 4BHK with Servant Room,5000 4BHK pent house,,,,,,,
Malibu Town Imperia Sector 47,Malibu Town Imperia,Sector 47,3012 3BHK with Servant Room,3281 4BHK with Servant Room,5467 5BHK with Servant Room, 5BHK with Servant Room,,,,,,
Mapsko Casa Bella Sector 82,Mapsko Casa Bella,Sector 82,1430 3BHK,1690 3BHK,1960 3BHK with Servant Room,2535 3BHK with Servant Room,4890 Penthouse,,,,,
Navodaya Sector 92,Navodaya,Sector 92,1100 1BHK,1498 2BHK,1990 3BHK,2350 3BHK With Servant Room,3100 4BHK with Servant Room,,,,,
Orchid Petals Sohna Road,Orchid Petals,Sohna Road,1254 2BHK,1805 3BHK,2033 3BHK with Servant Room,2061 3BHK,2100 3BHK with Servant Room,3550 4BHK with Servant Room,4115 5BHK Penthouse,,,
Orris Aster Court Sector 85,Orris Aster Court,Sector 85,1315 2BHK,1587 3BHK with Servant Room,1675 3BHK with Servant Room,1975 3BHK with Servant Room,,,,,,
Palm Hills Sector 77,Palm Hills,Sector 77,1450 3BHK with Servant Room,1950 4BHK with Servant Room, ,,,,,,,
Palm Terraces select Sector 66,Palm Terraces select,Sector 66,2410 4BHK with Servant Room,3670 5BHK Penthouse with servant room,1650 3BHK,,,,,,,
Paras Quartier Faridabab road,Paras Quartier,Faridabab road,5350 4BHK with Servant Room,6000 4BHK with Servant Room, ,,,,,,,
Pareena Vikasaa Sector 68,Pareena Vikasaa,Sector 68,865 2BHK,1245 2BHK,1483 3BHK,1705 3BHK,1999 3BHK with Servant Room,,,,,
Puri Aravalias Sector 61,Puri Aravalias,Sector 61,2250 3BHK with Servant Room,2750 4BHK with Servant Room, ,,,,,,,
Puri Diplomatic Green Sector 111,Puri Diplomatic Green,Sector 111,1700 3BHK,1810 3BHK,2100 3BHK with Servant Room,2905 3BHK with Servant Room,4500 4BHK with Servant Room,,,,,
Puri Emerald Bay Sector 104,Puri Emerald Bay,Sector 104,1550 2BHK,2450 3BHK,2700 4BHK with Servant Room, 4BHK with Servant Room,,,,,,
Raheja Atharva Sector 109,Raheja Atharva,Sector 109,1640 3BHK,1755 3BHK,1855 3BHK,2990 3BHK,3054 4BHK with Servant Room,4023 Penthouse,,,,
Raheja Atlantis Sector 31,Raheja Atlantis ,Sector 31,2311 3BHK,2943 4BHK,4400 4BHK, 4BHK,,,,,,
Raheja Vedaanta Sector 108,Raheja Vedaanta,Sector 108,1365 2BHK,1790 3BHK with Servant Room,1930 3BHK with Servant Room,6000 3BHK with Servant Room,,,,,,
